model,entry_date,exit_date,entry_price,exit_price,return,holding_days
B,2017-04-20,2017-04-21,3.39,3.42,0.008849557522123908,1
B,2017-04-25,2017-04-26,3.21,3.2,-0.0031152647975076775,1
B,2017-07-18,2017-07-25,3.08,3.22,0.045454545454545636,7
B,2017-09-22,2017-09-27,4.2,4.21,0.0023809523809521504,5
B,2018-04-03,2018-04-04,5.04,5.08,0.00793650793650813,1
B,2019-03-05,2019-03-07,7.84,8.41,0.07270408163265318,2
B,2019-03-08,2019-03-15,7.66,7.51,-0.019582245430809553,7
B,2020-04-15,2020-04-20,8.2,8.15,-0.0060975609756096505,5
B,2020-07-06,2020-07-09,13.02,14.55,0.1175115207373274,3
B,2020-07-13,2020-07-15,14.26,16.42,0.15147265077138883,2
B,2021-01-15,2021-01-20,20.77,21.53,0.0365912373615791,5
B,2022-08-02,2022-08-03,17.66,17.44,-0.01245753114382786,1
B,2023-03-23,2023-03-27,15.37,16.47,0.07156798959011068,4
B,2023-11-07,2023-11-09,15.48,15.37,-0.00710594315245483,2
B,2024-03-12,2024-03-13,13.65,13.74,0.00659340659340657,1
